Name,Lat,Lng
Lanurile,44.0684547,28.3776727
Germania,51.165691,10.451526
Korce,40.6140785,20.7778071
Craiova,44.3301785,23.7948807
Pula Museum,44.87045510000001,13.8455367
Horvat Eleq (Ramat HaNadiv),32.5524324,34.9453
Apollonia,45.451626,-91.304352
Bet Guvrin,31.601631,34.895464
Tsepina,42.0857748,24.1241283
Hama,40.7597698,-73.9776098
Antikyra,38.3784648,22.6305728
Belgrade Museun,44.7881671,20.4521836
Amvrakikos,39.1,20.883333
Cucorani,47.7811151,26.5140222
Mesembria,42.6601365,27.7205593
Ratiaria,False,False
Yapi Credi,41.0064913,28.6585723
Sirmium,44.9639117,19.6136076
Prokuplje,43.2367913,21.5915831
Mangalia,43.8152436,28.5741496
Mircesti,47.0660719,26.8462795
Sadovets,43.3081492,24.3524097
Bolvadin Museum,38.7109926,31.0463189
Smirna,39.2998339,-75.6046494
Noviodunum,46.3832683,6.2347852
Kastritsa,39.6318961,20.9219823
Thasos,40.6844991,24.6483706
Cornus,43.90250899999999,3.1786089
Star Grad,43.18399580000001,16.5992505
Metodievo,43.6159452,27.975137
Harmanly,41.9304124,25.9025865
Palestine,31.952162,35.233154
Ephesus,37.9489313,27.3676408
Allianoi,False,False
Durres,41.3245904,19.4564686
Paliokastro,39.6,21.816667
Olympia,47.0378741,-122.9006951
Shkodra,42.0692985,19.5032559
Sacidava,False,False
Anatolia,36.8968908,30.7133233
Cecan/Gorni Streoc,False,False
Bargala,41.0306019,21.4052545
Sinope,42.02797400000001,35.151725
Poiana-Dulcesti,47.00304819999999,26.7734602
Melitene,38.3553627,38.33352470000001
Niculitel,45.1838558,28.480348
Varna,43.2140504,27.9147333
Banjica,44.7621061,20.4683342
Dunareni-Bratca,False,False
C-ple Sarachane,False,False
Trogir,43.51638699999999,16.2501894
Thessalonica,40.6400629,22.9444191
Dinogetia,44.4609218,26.1545123
Halmyris,False,False
Nabratein,False,False
Stari Slankamen,45.1377246,20.2607457
Priene,38.1029934,23.8220825
Pisidian Antioch,False,False
Belsh,40.979512,19.897722
Antioch,38.0049214,-121.805789
Mount Gerizim,32.2005556,35.2733333
Caricin Grad,44.7347228,18.0880765
Kriva Krusa,41.6006812,21.6235924
Iatrus,False,False
Gradishte Taor,False,False
Ulmetum,44.547432,28.3417867
Nigde,37.969774,34.676608
Targusor,44.4615032,28.4135469
Izmail,45.3501944,28.8501919
Durres Museum,41.311521,19.4403291
Kayseri,38.720489,35.48259700000001
Butrint,39.74424,20.02507
Bursa Museum,40.1824585,29.0665844
Maskare,43.68060819999999,21.3731957
Karlobag,44.5284238,15.0728705
Setina,47.0014899,-122.856609
Camarina,37.5071591,-122.2605222
Kochovo,43.2200071,26.800474
Corotna,46.6332262,29.8591232
Odemis Museum,38.228145,27.9891472
Hammat Gader,32.6833586,35.6647332
Dragoevo,43.1206961,26.8695081
Buzau,45.1371109,26.8171122
Novae,44.7620048,8.7858956
Gradina,45.8544223,17.5114169
Dunavat,44.9835207,29.2214537
Tiszakeszi,47.7879554,20.9904672
Storgosia (Kayluka),False,False
Crete,35.240117,24.8092691
Perge,36.9613995,30.8540568
Beroe (BG),42.4317098,25.6143946
Sexaginta Prista,43.8460443,25.9450635
En Zur (Ramat haNadiv),False,False
Isparta Museum,37.7710983,30.5583285
Petrovci,45.2878438,18.9467721
Hajdunanas,47.843004,21.4242691
Side,33.1958696,-117.3794834
Shumen,43.2712398,26.9361286
Sucidava,43.76427959999999,24.4593321
Histria,44.5704385,28.7122399
Heracleion,False,False
Kovachevsko kale,43.3590825,26.1452023
Moesia Secunda,False,False
Vacareni,45.3255111,28.1953217
Peristera,39.177735,23.9595943
Provadia,43.177032,27.4405725
Tel Jezreel,32.657358,35.302478
Dobrudja,43.2467161,27.783149
Lazica,45.1441191,20.4944981
Giurgita,44.0150448,23.6327426
Rasova,44.2397052,27.9411811
Corinth,37.9386365,22.9322383
Szegvar,46.5816447,20.2266415
Nokalakevi,42.3207189,42.17519009999999
Lis,39.0200431,-88.26031929999999
Osijek Museum,45.5607941,18.6951978
Azbresnica,43.3609636,21.6907238
Amasra Museum,41.7471842,32.3831623
Tsari Mali,42.3545689,23.3824325
Samaria,32.422877,35.3027226
Rancaciov,44.8855684,25.3627472
Sliven,42.6816536,26.3228685
Fiseka,False,False
Sinoe,5.49871,-8.6600586
Palazu Mare,44.226911,28.5983316
Nufaru,45.148473,28.9252723
Santorini,36.3931562,25.4615092
Onogur,43.8210924,27.5858578
Hierapolis,37.9266358,29.1273821
Shtarkovo,42.3002578,24.2352916
Gerasa,32.2746515,35.8960765
Viminacium,44.7329184,21.2305416
Argos,41.4341031,-73.6191284
Efes Museum,37.9489313,27.3676408
Amphipolis,40.8236803,23.8470507
Pogradec,40.9015314,20.6556289
Balis,-8.4095178,115.188916
Lin,39.0348913,-94.58353389999999
Carnuntum,48.113326,16.861693
Celje,46.23974949999999,15.2677063
Bet She'an,32.497103,35.497336
Hippos,42.6833513,-73.8402869
Troesmis-Iglita,False,False
Sardis,38.889011,-76.852231
Zagreb Museum,45.8183999,15.9747951
Nea Anchialos,39.2759274,22.818555
Ostrov,50.30593500000001,12.9390833
Odurtsi,False,False
Sipote,47.4705439,27.215584
Satu Nou,46.6211874,21.6965779
Abu Mina,27.9302553,30.8378123
Majsan,31.8734002,47.1362125
Zusem,46.1601625,15.4869891
Slava Rusa,44.8508101,28.6067659
Akhtopol,42.0993861,27.9407145
Shevchenkivka,50.4642048,30.4664647
Mesopotamia,34.5337527,43.483738
Drobeta,44.6369227,22.6597342
Oltenia,44.3420897,23.7700635
Limanu,43.79856669999999,28.5358754
Sant'Agata Feltria,43.8638203,12.2112152
Malo Konare,42.1981867,24.4321659
Banat,45.51777999999999,-87.69749999999999
Capidava,44.4967848,28.0917334
Amorium,40.7423612,-73.98421770000002
Arre-Molle,41.8592034,20.2281185
Heraclea Lyncestis,False,False
Orolik,45.2149778,18.9847275
Mt Nebo,31.768332,35.7252775
Pecineaga,43.8973978,28.4985477
Naxos,37.1021029,25.376114
Bratei,46.1692413,24.4231005
Ainos,38.137222,20.672778
Athens,37.9838096,23.7275388
Jerusalem,31.768319,35.21371
Khirbet Fa'ush,False,False
Veteranu,44.15310179999999,28.1293114
Izvoarele,45.2826825,25.998219
Adamclisi,44.125406,27.9522502
Kalenderis,41.0946179,28.86179
Pernik,42.6051862,23.0378368
Aezanitis,False,False
Transylvania,32.6784671,-91.18260939999999
Tyana,33.4187706,-86.7978864
Cernavoda,44.3175539,28.0577087
Canlia,44.1241078,27.5298735
Voynikovo,43.702079,27.3720988
Bucovina,47.7351619,26.6559922
Preslav,43.1645409,26.8179674
Storgosia,43.38298380000001,24.6293356
Harsova,44.6893481,27.9456551
Schutzen am Gebirge,47.8513884,16.6293943
Dionysopolis,52.15073,8.037519999999999
Horga,47.260742,8.596363
Nessana,30.873144,34.433546
Stalac,43.6672646,21.4292765
Paphos (Saranda Kolones),34.757656,32.409644
Nea Ankhialos,39.2759274,22.818555
Scolacium,38.809292,16.59574
Villanova Forru,39.6264588,8.8748765
Iasos,37.282375,27.5843621
Pergamum,39.5698753,-84.19899199999999
Kolked-Feketekapu,False,False
Feltre Museum,46.0188426,11.9123971
Nemea,37.3345021,-121.8891224
Sepphoris,False,False
Teteven,42.9186875,24.2588927
Aquis,37.3075469,-121.9008747
Sofia-Lozenets,42.675,23.326389
Baernbach-Mitterndorf,47.0702015,15.1177274
Salamis-Constantia,False,False
Baalbek,34.0046888,36.2110399
Pella,41.3975803,-92.9164172
Polypetron,False,False
Tyre cemetery,35.4464326,-90.7314696
Samos,37.7547857,26.9777701
Berytus,33.8937913,35.5017767
En Gedi,31.4664,35.387983
Moesia II,False,False
Lovech,43.1369534,24.7141906
Olynthus,40.2911675,23.3426114
Enisala,44.8784748,28.8192154
Troesmis,45.145125,28.1858934
Kalyva,41.28546,24.6230468
Serrai,41.090923,23.5413198
Martyrius Monastery,31.779734,35.300427
Sebes,45.9595588,23.5663758
Carthage,36.8529199,10.3217245
Constanta,44.1598013,28.6348138
Saranda,39.8592119,20.0271001
Kaunos,36.825254,28.623052
Salamis,53.3772576,-6.0975246
Barbalissus,False,False
